data_point,predicted,difference,hit,
10,10.2654,0.265395,1,
11,9.87983,1.12017,0,
10.6,10.5029,0.0971422,1,
10,10.415,0.414994,1,
11,10.0188,0.981172,1,
10,9.85845,0.141554,1,
10,9.63405,0.365952,1,
10,9.52811,0.471889,1,
10,9.41568,0.584319,1,
10,9.35866,0.641341,1,
11,9.30553,1.69447,0,
10.6,10.3521,0.247895,1,
10.6,10.5274,0.0725603,1,
13.3,10.0351,3.26486,0,
13.9,11.7972,2.10278,0,
16.1,12.7847,3.31528,0,
16.1,13.3813,2.71867,0,
14.4,13.7545,0.645495,1,
13.3,12.4657,0.834318,1,
13.3,11.1527,2.14731,0,
12.8,11.6867,1.11329,1,
12.8,11.3437,1.45633,0,
12.2,11.2786,0.921363,1,
12.2,11.1285,1.07148,1,
11.1,10.3009,0.799072,1,
11.1,10.1012,0.998815,1,
11.1,9.71662,1.38338,0,
10,10.4615,0.46147,1,
9.4,10.4602,1.06019,0,
9.4,9.32746,0.0725422,1,
9.4,9.03729,0.362707,1,
8.3,9.08997,0.789971,1,
8.9,9.0326,0.132603,1,
9,9.08945,0.0894489,1,
8.9,9.09214,0.192144,1,
9,9.13055,0.130552,1,
9,9.14275,0.142755,1,
9,9.16491,0.164911,1,
8.9,9.17454,0.274544,1,
8.9,9.1863,0.2863,1,
9,9.19215,0.192149,1,
9,9.19806,0.198065,1,
10,9.20123,0.798771,1,
10,9.2041,0.795903,1,
11.1,9.2057,1.8943,0,
14.4,10.409,3.99101,0,
16.7,12.6888,4.01119,0,
17.2,14.0041,3.19591,0,
17.2,14.1689,3.03115,0,
17.2,13.9718,3.22822,0,
17.2,13.9064,3.29358,0,
16.7,13.9064,2.79358,0,
14.4,13.7353,0.664671,1,
12.8,12.4176,0.382369,1,
12.8,10.9897,1.81029,0,
12.2,11.4157,0.78426,1,
12.2,11.0532,1.14681,1,
12.2,10.3033,1.89667,0,
11.1,11.1568,0.0568142,1,
11.1,11.0095,0.090539,1,
10.6,10.3279,0.272097,1,
8.9,10.1053,1.20528,0,
7.8,8.96512,1.16512,0,
8.9,7.79845,1.10155,0,
8.9,8.52032,0.37968,1,
8.3,8.98725,0.68725,1,
6.7,8.87279,2.17279,0,
7.8,7.53318,0.266816,1,
8.3,7.01412,1.28588,0,
10.6,8.592,2.008,0,
12.2,10.1853,2.01472,0,
12.2,11.6644,0.535602,1,
12.2,11.3845,0.815467,1,
12.8,10.7213,2.07871,0,
13.3,11.5297,1.77035,0,
13.9,12.2363,1.66366,0,
14.4,12.3949,2.00513,0,
13.9,12.6864,1.21356,1,
13.9,11.9008,1.99921,0,
13.9,11.9232,1.97679,0,
12.8,12.5683,0.231691,1,
12.8,11.7009,1.09912,1,
12.2,10.8219,1.37813,0,
12.2,11.1141,1.08593,1,
11.7,10.847,0.852955,1,
11.7,10.2145,1.4855,0,
12.2,10.8764,1.32362,0,
11.7,11.4749,0.225066,1,
10.6,11.0527,0.452675,1,
8.9,10.4628,1.56282,0,
8.9,9.1206,0.220599,1,
7.8,8.53393,0.73393,1,
7.8,8.79693,0.996933,0,
8.3,7.98323,0.316774,1,
7.8,7.97141,0.171407,1,
8,8.24331,0.243314,1,
8.3,8.38169,0.081686,1,
8.3,8.59175,0.29175,1,
10.6,8.72033,1.87967,0,
11.1,10.084,1.01599,1,
11.1,10.4062,0.693817,1,
11.7,9.96034,1.73966,0,
12.2,10.9606,1.23939,0,
12.8,11.5638,1.23615,1,
13.3,11.1025,2.19748,0,
13.9,11.732,2.16796,0,
14.4,12.6111,1.78889,0,
14.4,12.6864,1.71356,0,
14.4,12.7086,1.69144,0,
14.4,12.6233,1.77665,0,
12.8,12.6233,0.176652,1,
12.8,11.7737,1.02625,1,
13.3,10.7705,2.52951,0,
13.3,11.709,1.59104,0,
13.3,12.2973,1.00268,1,
12.2,11.5041,0.695928,1,
11.7,10.7532,0.946828,1,
11.7,10.2699,1.43009,0,
10,10.7579,0.757877,1,
10.6,10.6867,0.0866642,1,
8.9,10.1097,1.20974,0,
8.9,9.16477,0.26477,1,
9.4,8.6655,0.734502,1,
9.4,8.90434,0.495658,1,
10.6,8.80307,1.79693,0,
11,10.1271,0.872942,1,
11.1,10.3622,0.737765,1,
11.7,9.94828,1.75172,0,
12.8,10.9369,1.8631,0,
12.8,11.8821,0.917932,1,
12,11.4567,0.543299,1,
12.2,10.7007,1.49932,0,
12.8,11.1844,1.61565,0,
13,11.8114,1.1886,1,
12.8,11.3175,1.48254,0,
13,11.4242,1.57581,0,
13.3,12.0115,1.28848,1,
13.3,11.3633,1.93667,0,
13.9,11.7037,2.19627,0,
13.9,12.534,1.36601,1,
14,11.799,2.20099,0,
13.3,12.0259,1.27409,1,
13.3,11.7105,1.58947,0,
13.9,11.5013,2.3987,0,
12.8,12.5315,0.268519,1,
12.8,11.7977,1.00227,1,
12.8,10.8652,1.93484,0,
12.8,11.4761,1.32392,0,
13,11.9144,1.08556,1,
12.8,11.2503,1.54974,0,
12.2,11.456,0.744001,1,
12,11.1805,0.819536,1,
12.2,10.3938,1.8062,0,
12.2,11.1885,1.0115,1,
12.2,11.0006,1.19937,1,
12,10.3335,1.66645,0,
12,11.0786,0.92139,1,
12,10.9141,1.08589,1,
12.2,10.2901,1.90993,0,
12.2,11.1853,1.01466,1,
11,11.0548,0.0547714,1,
11.1,10.365,0.734955,1,
11,10.1372,0.862759,1,
11.7,9.78119,1.91881,0,
10.6,10.8099,0.209851,1,
11.1,10.8501,0.249915,1,
11.7,10.2282,1.4718,0,
12.2,10.9445,1.25546,0,
12.2,11.4743,0.725682,1,
13.3,11.0523,2.24767,0,
13.3,11.7052,1.59481,0,
13.9,12.3506,1.54944,0,
13.3,12.3045,0.995544,1,
14.4,11.6806,2.71942,0,
14.4,12.1512,2.24884,0,
14.4,12.9697,1.4303,1,
13.9,11.9489,1.9511,0,
13,12.0055,0.994522,1,
13.3,11.5879,1.71205,0,
13.3,11.516,1.78403,0,
13.9,12.2557,1.64429,0,
13.3,12.3045,0.995544,1,
13.3,11.6806,1.61942,0,
13.3,11.6082,1.69182,0,
12.8,12.2015,0.598525,1,
13.3,11.4531,1.84695,0,
12.8,11.6998,1.10023,1,
12.8,11.4038,1.39623,0,
12.8,11.2828,1.5172,0,
12.8,11.933,0.866961,1,
12.8,11.2604,1.53956,0,
12.8,11.4617,1.33828,0,
12.2,11.8886,0.311367,1,
12.2,11.2361,0.96389,1,
12,10.5738,1.42616,0,
13,11.0015,1.9985,0,
12.2,11.8984,0.301629,1,
12.8,11.4638,1.33625,0,
13,11.4091,1.59085,0,
13,11.9951,1.00487,1,
12.2,11.3545,0.845531,1,
12.2,10.6336,1.56639,0,
12,11.1275,0.872454,1,
13,10.929,2.07098,0,
12.8,11.4433,1.35668,0,
12,12.0939,0.0939426,1,
12,11.3067,0.693261,1,
12.2,10.6833,1.51668,0,
12,11.0908,0.90921,1,
12,10.9182,1.08185,1,
12.8,10.2496,2.55036,0,
12,11.5062,0.493755,1,
